internalId,uuid,DE_title,EN_title,issue
20184,,Bindegewebe-Frequenzsteuerung 2,Connective Tissue-Control Frequencies,"DE has number, EN missing number"
20295,,Darm-Geschwür 1,Intestine-Ulcer,"DE has number, EN missing number"
20172,,Herz Kreislauf 1,Heart-Blood Circulation,"DE has number, EN missing number"
20173,,Herz Kreislauf 2,Heart-Blood Supply,"DE has number, EN missing number"
20174,,Herz Venen 1,"Heart, Veins","DE has number, EN missing number"
21382,,Nieren Frequenzsteuerung 1,Kidneys-Control Frequencies,"DE has number, EN missing number"
21383,,Nieren Frequenzsteuerung 2,Kidneys-Control Frequencies,"DE has number, EN missing number"
22188,,Parasiten umfassendes Programm 1,Parasites-Basic Comprehensive Programme,"DE has number, EN missing number"
22190,,Parasiten umfassendes Programm 2,Parasites-Comprehensive,"DE has number, EN missing number"
30104,,7 Chakra Frequenzen,Seven Chakras,"DE has number, EN missing number | EN generic, DE specific"
21219,,Appetitlosigkeit 2,Lack of Appetite,"DE has number, EN missing number | EN generic, DE specific"
21157,,Blutung aus den Atemwegen 1,Respiratory Tract Bleeding,"DE has number, EN missing number | EN generic, DE specific"
20273,,Blähungen 1,Abdominal Bloating,"DE has number, EN missing number | EN generic, DE specific"
20307,,Blähungen 2,Flatulence,"DE has number, EN missing number | EN generic, DE specific"
20401,,Cholangitis 2,Cholangitis,"DE has number, EN missing number | EN generic, DE specific"
21052,,Colitis 1,Colitis,"DE has number, EN missing number | EN generic, DE specific"
21066,,Colitis Ulcerosa 2,Ulcerative Colitis,"DE has number, EN missing number | EN generic, DE specific"
20329,,Darm-Geschwür 2,Gut Ulcer,"DE has number, EN missing number | EN generic, DE specific"
21873,,Diabetes 2,Diabetes Mellitus,"DE has number, EN missing number | EN generic, DE specific"
21158,,Entzündung der Atemwege 1,Respiratory Tract Inflammation,"DE has number, EN missing number | EN generic, DE specific"
21159,,Entzündung der Atemwege 2,Respiratory Tract Inflammation,"DE has number, EN missing number | EN generic, DE specific"
22798,,Epilepsie 2,Epilepsy,"DE has number, EN missing number | EN generic, DE specific"
20587,,Erbrechen Zentrum 1,Centre of Vomiting,"DE has number, EN missing number | EN generic, DE specific"
20309,,Erkrankungen der Bauchspeicheldrüse 1,Pancreatic Disorders,"DE has number, EN missing number | EN generic, DE specific"
20319,,Erkrankungen der Bauchspeicheldrüse 2,Pancreas Diseases,"DE has number, EN missing number | EN generic, DE specific"
22631,,Erkältung 2,Cold,"DE has number, EN missing number | EN generic, DE specific"
20778,,Gehörzentrum 4,Hearing Centre,"DE has number, EN missing number | EN generic, DE specific"
22357,,Gelenkschmerzen 2,Joint Pain,"DE has number, EN missing number | EN generic, DE specific"
21236,,Hustenreflex 2,Reflex Cough,"DE has number, EN missing number | EN generic, DE specific"
21531,,Knorpel Erweichung 2,Cartilage Softning,"DE has number, EN missing number | EN generic, DE specific"
20457,,Kopfschmerzen mit Darmfunktionsstörung 1,Headache and Intestinal Dysfunction,"DE has number, EN missing number | EN generic, DE specific"
21405,,Krampfadern 1,Varicosis,"DE has number, EN missing number | EN generic, DE specific"
21658,,Krampflösende Wirkung 1,Spasmolytic,"DE has number, EN missing number | EN generic, DE specific"
22857,,Lungenentzündung allgemein 5,General Pneumonia V,"DE has number, EN missing number | EN generic, DE specific"
21008,,Lymphen 1,Lymph,"DE has number, EN missing number | EN generic, DE specific"
22434,,Magengeschwür 2,Peptic Ulcer,"DE has number, EN missing number | EN generic, DE specific"
20705,,Mandelentzündung 1,Tonsillitis,"DE has number, EN missing number | EN generic, DE specific"
20763,,Mandelentzündung 1,Tonsillitis,"DE has number, EN missing number | EN generic, DE specific"
20706,,Mandelentzündung 2,Tonsillitis,"DE has number, EN missing number | EN generic, DE specific"
20770,,Mandelentzündung 2,Follicular tonsillitis,"DE has number, EN missing number | EN generic, DE specific"
20856,,Nervenzentrum 1,Nerve Centre,"DE has number, EN missing number | EN generic, DE specific"
21826,,Netzthaut Erholung 2,Retina Recovery,"DE has number, EN missing number | EN generic, DE specific"
21336,,Nierenzyste 1,Kidney Cyst,"DE has number, EN missing number | EN generic, DE specific"
21327,,Oberkiefer 2,Upper Jaw,"DE has number, EN missing number | EN generic, DE specific"
21648,,Regulierung des Magen-Darm-Trakt 1,GI Tract Regulation,"DE has number, EN missing number | EN generic, DE specific"
20183,,Speicheldrüsen 1,Salivary Glands,"DE has number, EN missing number | EN generic, DE specific"
20966,,Stoffwechsel 1,Metabolism,"DE has number, EN missing number | EN generic, DE specific"
22824,,Unruhe 2,Agitation,"DE has number, EN missing number | EN generic, DE specific"
20230,,Unterkiefer 2,Low Jaw,"DE has number, EN missing number | EN generic, DE specific"
21657,,Abführend,Laxative,"EN generic, DE specific"
20323,,Abführende Wirkung,Laxative,"EN generic, DE specific"
21062,,Abführende Wirkung,Laxative Effect,"EN generic, DE specific"
22578,,Abschürfungen herpetiformis,Furunculosis Herpetiformis,"EN generic, DE specific"
21421,,Abszess Sekundär,Secondary Abscess,"EN generic, DE specific"
